== cal_slot4_lid11_seq64295.pt T=64295 A=59518 nq=256 need p50/p90/max=0/0/2 key_mean_energy=0.176
  basis     r    zp   z50  fire50  fire90 firemax fallbk  fire0    qE    kE
== cal_slot4_lid39_seq64295.pt T=64295 A=59517 nq=256 need p50/p90/max=0/0/6 key_mean_energy=0.233
  basis     r    zp   z50  fire50  fire90 firemax fallbk  fire0    qE    kE
  qpca     64  3.53  1.36       0      28     156  0.000      0  0.75  0.22
  qpca    128  3.17  1.20       0       8      51  0.000      0  0.84  0.33
  qpca    256  2.87  0.86       0       2      27  0.000      0  0.91  0.56
  kpca     64  6.17  2.17     442    4174    9418  0.105      0  0.26  0.66
  kpca    128  7.40  1.38     352    2722    6019  0.031      0  0.39  0.78
  kpca    256  6.46  0.82       2     142     653  0.000      0  0.57  0.90
  kmom     64  7.68  2.97     619    5252    9380  0.160      0  0.28  0.72
  kmom    128  8.00  1.88     172    2006    4536  0.008      0  0.40  0.83
  kmom    256  6.31  1.20       0      72     390  0.000      0  0.59  0.92
  mix      64  5.81  0.93       0      84     331  0.000      0  0.73  0.64
  mix     128  4.71  0.75       0      11      65  0.000      0  0.86  0.77
  mix     256  3.60  0.65       0       1      12  0.000      0  0.94  0.88
  diag     64  6.00  4.16       2    6276   30048  0.152      0  0.26  0.19
  diag    128  5.75  4.03       0     713    6872  0.012      0  0.42  0.35
  diag    256  4.79  3.01       0      30     360  0.000      0  0.65  0.61
== cal_slot4_lid39_seq65069.pt T=65069 A=59518 nq=256 need p50/p90/max=0/0/10 key_mean_energy=0.117
  basis     r    zp   z50  fire50  fire90 firemax fallbk  fire0    qE    kE
  qpca     64  2.04  0.34       0       1      60  0.000      0  0.78  0.17
  qpca    128  2.26  0.39       0       1      67  0.000      0  0.84  0.28
  qpca    256  2.66  0.22       0       0      71  0.000      0  0.90  0.49
  kpca     64  3.40  1.48       1      24     780  0.000      0  0.25  0.58
  kpca    128  2.40  0.47       0       3     187  0.000      0  0.39  0.72
  kpca    256  1.50 -0.89       0       1      59  0.000      0  0.58  0.85
  kmom     64  4.47  2.78       0       6     561  0.000      0  0.36  0.63
  kmom    128  3.81  2.06       0       2     206  0.000      0  0.50  0.75
  kmom    256  3.04  1.20       0       1      49  0.000      0  0.67  0.88
  mix      64  3.58  1.34       0       1     189  0.000      0  0.76  0.55
  mix     128  2.97  0.91       0       0      48  0.000      0  0.88  0.69
  mix     256  2.37  0.91       0       0      23  0.000      0  0.95  0.84
  diag     64  4.86  3.04       1      36    2230  0.000      0  0.28  0.16
  diag    128  4.78  2.76       0       8     346  0.000      0  0.45  0.29
  diag    256  3.87  2.04       0       1      38  0.000      0  0.68  0.55
== cal_slot4_lid3_seq64295.pt T=64295 A=59518 nq=256 need p50/p90/max=0/0/1 key_mean_energy=0.117
  basis     r    zp   z50  fire50  fire90 firemax fallbk  fire0    qE    kE
  qpca     64  3.64  1.49       0       4    6633  0.012      0  0.78  0.22
  qpca    128  3.08  0.81       0       1     375  0.000      0  0.88  0.34
  qpca    256  2.74  0.38       0       0      19  0.000      0  0.94  0.55
  kpca     64  6.01  2.87     286    5451   12302  0.172      0  0.21  0.74
  kpca    128  5.48  2.62       1     387    3432  0.000      0  0.33  0.85
  kpca    256  3.86  1.80       0       1      16  0.000      0  0.59  0.95
  kmom     64  6.39  3.63       4     424    8470  0.008      0  0.27  0.82
  kmom    128  5.87  3.16       0      22    1382  0.000      0  0.36  0.91
  kmom    256  4.23  2.12       0       0       9  0.000      0  0.59  0.97
  mix      64  4.49  2.26       0       2     327  0.000      0  0.72  0.72
  mix     128  4.65  1.98       0       1     149  0.000      0  0.84  0.84
  mix     256  3.96  1.31       0       0       3  0.000      0  0.94  0.94
  diag     64  5.85  3.44       6    9576   45677  0.180      0  0.25  0.16
  diag    128  5.55  3.32       0     524   27258  0.027      0  0.42  0.30
  diag    256  4.44  2.35       0       4    1077  0.000      0  0.67  0.57
== cal_slot4_lid3_seq65069.pt T=65069 A=59518 nq=256 need p50/p90/max=0/1/18 key_mean_energy=0.084
  basis     r    zp   z50  fire50  fire90 firemax fallbk  fire0    qE    kE
  qpca     64  4.22  1.37       0      48    4405  0.004      0  0.83  0.22
  qpca    128  3.64  0.69       0       4     823  0.000      0  0.92  0.35
  qpca    256  3.55  0.86       0       2     136  0.000      0  0.97  0.57
  kpca     64  5.12  2.16     116    1640    8592  0.023      0  0.33  0.60
  kpca    128  4.58  1.66       6     191    2321  0.000      0  0.47  0.77
  kpca    256  3.97  1.11       0      12     197  0.000      0  0.68  0.91
  kmom     64  5.97  3.47      14     784    7614  0.027      0  0.44  0.63
  kmom    128  5.75  2.90       2     194    2629  0.000      0  0.55  0.79
  kmom    256  4.80  1.98       0      14     230  0.000      0  0.70  0.92
  mix      64  4.49  1.86       0      32    1474  0.000      0  0.77  0.52
  mix     128  4.14  1.26       0       7     283  0.000      0  0.89  0.68
  mix     256  3.01  0.64       0       2      44  0.000      0  0.97  0.86
  diag     64  5.99  3.83     124   13621   59383  0.191      0  0.29  0.15
  diag    128  5.62  3.50       4    1248   32029  0.051      0  0.45  0.29
  diag    256  5.03  2.91       0      64    2140  0.000      0  0.68  0.54
== cal_slot4_lid43_seq64295.pt T=64295 A=59518 nq=256 need p50/p90/max=0/0/2 key_mean_energy=0.248
  basis     r    zp   z50  fire50  fire90 firemax fallbk  fire0    qE    kE
  qpca     64  5.64  3.50       0      14     333  0.000      0  0.70  0.22
  qpca    128  6.82  3.65       0      16     330  0.000      0  0.80  0.34
  qpca    256  6.53  3.39       0       2      60  0.000      0  0.89  0.55
  kpca     64  4.19  1.75       0      16     245  0.000      0  0.28  0.69
  kpca    128  3.05  1.19       0       1      23  0.000      0  0.39  0.80
  kpca    256  2.18  0.38       0       0       9  0.000      0  0.56  0.92
  kmom     64  5.17  2.52       1      15      61  0.000      0  0.28  0.81
  kmom    128  3.63  1.66       0       1      10  0.000      0  0.39  0.90
  kmom    256  2.54  1.08       0       0       6  0.000      0  0.56  0.97
  mix      64  4.92  3.00       0       3      29  0.000      0  0.64  0.73
  mix     128  3.87  1.72       0       0       9  0.000      0  0.80  0.83
  mix     256  2.43  0.88       0       0       3  0.000      0  0.91  0.93
  diag     64  6.41  4.46       6    2065   35260  0.082      0  0.26  0.20
  diag    128  5.74  3.72       0      48    2486  0.000      0  0.43  0.34
  diag    256  4.23  2.40       0       1     107  0.000      0  0.66  0.61
== cal_slot4_lid43_seq65069.pt T=65069 A=59518 nq=256 need p50/p90/max=0/0/3 key_mean_energy=0.114
  basis     r    zp   z50  fire50  fire90 firemax fallbk  fire0    qE    kE
  qpca     64  2.59  1.05       0       0      81  0.000      0  0.71  0.17
  qpca    128  2.05  0.65       0       0      15  0.000      0  0.82  0.29
  qpca    256  1.52  0.48       0       0       3  0.000      0  0.90  0.52
  kpca     64  4.52  2.33       0      63    3380  0.000      0  0.24  0.58
  kpca    128  3.55  1.66       0       4     408  0.000      0  0.35  0.72
  kpca    256  2.37  0.62       0       0      36  0.000      0  0.53  0.87
  kmom     64  5.28  3.23       0      14    1108  0.000      0  0.28  0.63
  kmom    128  4.56  2.59       0       2     137  0.000      0  0.39  0.76
  kmom    256  3.35  1.62       0       0       8  0.000      0  0.57  0.90
  mix      64  4.08  2.01       0       1     154  0.000      0  0.64  0.53
  mix     128  3.05  1.35       0       0      21  0.000      0  0.79  0.68
  mix     256  2.94  0.90       0       0       3  0.000      0  0.91  0.84
  diag     64  5.98  3.51       1    1294   42064  0.059      0  0.24  0.15
  diag    128  5.35  3.22       0      29    2371  0.000      0  0.40  0.29
  diag    256  4.52  2.56       0       1      63  0.000      0  0.64  0.55
== cal_slot4_lid7_seq64295.pt T=64295 A=59518 nq=256 need p50/p90/max=0/0/1 key_mean_energy=0.331
  basis     r    zp   z50  fire50  fire90 firemax fallbk  fire0    qE    kE
  qpca     64  2.06  0.07       0       0       9  0.000      0  0.78  0.32
  qpca    128  1.16 -0.72       0       0       3  0.000      0  0.90  0.44
  qpca    256  1.69 -0.80       0       0       1  0.000      0  0.97  0.64
  kpca     64  4.13  1.78       0       0      87  0.000      0  0.33  0.72
  kpca    128  3.59  1.28       0       0      19  0.000      0  0.45  0.80
  kpca    256  3.08  0.80       0       0       7  0.000      0  0.66  0.91
  kmom     64  5.14  2.39       0       2     308  0.000      0  0.38  0.79
  kmom    128  4.24  1.93       0       0      44  0.000      0  0.50  0.86
  kmom    256  3.54  1.42       0       0       7  0.000      0  0.69  0.93
  mix      64  4.04  1.40       0       0      23  0.000      0  0.72  0.74
  mix     128  3.06  0.68       0       0       3  0.000      0  0.86  0.82
  mix     256  1.94  0.26       0       0       1  0.000      0  0.96  0.91
  diag     64  4.96  2.86       0       0    1021  0.000      0  0.22  0.25
  diag    128  5.04  2.63       0       0     169  0.000      0  0.38  0.40
  diag    256  4.54  2.14       0       0      18  0.000      0  0.63  0.64
== cal_slot4_lid7_seq65069.pt T=65069 A=59518 nq=256 need p50/p90/max=0/0/17 key_mean_energy=0.133
  basis     r    zp   z50  fire50  fire90 firemax fallbk  fire0    qE    kE
  qpca     64  4.54  2.00       0      18    2515  0.000      0  0.77  0.27
  qpca    128  3.23  1.27       0       3     145  0.000      0  0.91  0.40
  qpca    256  3.32  0.91       0       2      77  0.000      0  0.98  0.62
  kpca     64  5.74  2.41       0     300    4968  0.004      0  0.41  0.54
  kpca    128  4.58  1.52       0      36     934  0.000      0  0.54  0.67
  kpca    256  3.15  0.54       0       3      96  0.000      0  0.72  0.83
  kmom     64  6.01  2.80       0     280    3876  0.000      0  0.43  0.56
  kmom    128  4.99  2.28       0      30     635  0.000      0  0.56  0.69
  kmom    256  3.98  1.39       0       4     110  0.000      0  0.74  0.84
  mix      64  4.86  1.97       0      22     928  0.000      0  0.70  0.50
  mix     128  3.49  1.38       0       3     162  0.000      0  0.85  0.63
  mix     256  2.48  0.73       0       1      39  0.000      0  0.96  0.80
  diag     64  6.60  3.99       0    9506   58154  0.141      0  0.23  0.17
  diag    128  6.42  3.65       0    1480   35136  0.059      0  0.39  0.30
  diag    256  5.70  3.13       0      63    4696  0.004      0  0.63  0.55
== mean over snapshots
  basis     r    zp  fire50  fire90 fallbk    qE    kE  n
